Id,SampleEventId,InputFileId,SpecConductivity,pHValue,DO,DOUnits,DOC,DOCUnits,NH4,NH4Units,SRP,SRPUnits,NO3,NO3Units,TDN,TDNUnits,TN,TNUnits,TDP,TDPUnits,TP,TPUnits,OtherElementsReported,StatisticalPooling,SampleSize,WaterSampleId,Notes
3026,3275,2,36,7.07,NA,NA,208.8,umol_L,7.62,umol_L,-999999999,umol_L,-999999999,umol_L,7.377,umol_L,-999999999,umol_L,0.29,umol_L,0.42,umol_L,TRUE,NA,NA,"{""parentSampleID"":[""COMO.SS.20171211""]}","{""sample date and time"":[""2017-12-11T17:20:00""]}"
3171,3420,2,83.6,7.44,NA,NA,138,umol_L,-999999999,umol_L,-999999999,umol_L,-999999999,umol_L,12.01,umol_L,9.505,umol_L,0.048,umol_L,0.097,umol_L,TRUE,NA,NA,"{""parentSampleID"":[""WLOU.SS.20170503""]}","{""sample date and time"":[""2017-05-03T10:50:00""]}"
3172,3421,2,71,7.505,NA,NA,257.2,umol_L,-999999999,umol_L,-999999999,umol_L,-999999999,umol_L,7.21,umol_L,-999999999,umol_L,0.065,umol_L,0.097,umol_L,TRUE,NA,NA,"{""parentSampleID"":[""WLOU.SS.20170509""]}","{""sample date and time"":[""2017-05-09T10:39:00""]}"
3173,3422,2,76,7.54,NA,NA,199.1,umol_L,-999999999,umol_L,-999999999,umol_L,-999999999,umol_L,-999999999,umol_L,-999999999,umol_L,0.097,umol_L,0.16,umol_L,TRUE,NA,NA,"{""parentSampleID"":[""WLOU.SS.20170522""]}","{""sample date and time"":[""2017-05-22T11:36:00""]}"
3174,3423,2,72.4,7.715,NA,NA,223.4,umol_L,5.1,umol_L,-999999999,umol_L,-999999999,umol_L,8.969,umol_L,-999999999,umol_L,0.42,umol_L,0.48,umol_L,TRUE,NA,NA,"{""parentSampleID"":[""WLOU.SS.20170530""]}","{""sample date and time"":[""2017-05-30T10:56:00""]}"
3175,3424,2,71.7,7.31,NA,NA,390.8,umol_L,-999999999,umol_L,-999999999,umol_L,-999999999,umol_L,11.88,umol_L,11.94,umol_L,0.52,umol_L,0.58,umol_L,TRUE,NA,NA,"{""parentSampleID"":[""WLOU.SS.20170608""]}","{""sample date and time"":[""2017-06-08T16:16:00""]}"
3176,3425,2,67.2,7.455,NA,NA,318.4,umol_L,-999999999,umol_L,-999999999,umol_L,-999999999,umol_L,8.013,umol_L,9.07,umol_L,0.19,umol_L,0.23,umol_L,TRUE,NA,NA,"{""parentSampleID"":[""WLOU.SS.20170612""]}","{""sample date and time"":[""2017-06-12T17:45:00""]}"
3177,3426,2,73.5,7.435,NA,NA,316.8,umol_L,NA,NA,NA,NA,NA,NA,9.091,umol_L,NA,NA,NA,NA,NA,NA,TRUE,NA,NA,"{""parentSampleID"":[""WLOU.SS.20170615""]}","{""sample date and time"":[""2017-06-15T15:15:00""]}"
3178,3427,2,72.5,7.635,NA,NA,517.1,umol_L,-999999999,umol_L,-999999999,umol_L,-999999999,umol_L,36.53,umol_L,8.955,umol_L,-999999999,umol_L,0.065,umol_L,TRUE,NA,NA,"{""parentSampleID"":[""WLOU.SS.20170619""]}","{""sample date and time"":[""2017-06-19T16:38:00""]}"
3179,3428,2,72.8,7.53,NA,NA,264,umol_L,14,umol_L,-999999999,umol_L,-999999999,umol_L,9.134,umol_L,-999999999,umol_L,0.14,umol_L,1.75,umol_L,TRUE,NA,NA,"{""parentSampleID"":[""WLOU.SS.20170622""]}","{""externalLabDataByAnalyte"":[""Source value of Ortho-P may be below detection limit but was not flagged in source data.""],""sample date and time"":[""2017-06-22T16:14:00""]}"
